SGB,Sample1,Sample2
t__SGB15053,ERR14760447,ERR14760653
t__SGB15053,ERR14760704,ERR14760844
t__SGB15053,ERR14760561,ERR14760844
t__SGB15053,ERR14760441,ERR14760509
t__SGB15053,ERR14760441,ERR14760447
t__SGB15053,ERR14760441,ERR14760704
t__SGB15053,ERR14760441,ERR14760844
t__SGB15053,ERR14760441,ERR14760864
t__SGB15053,ERR14760441,ERR14760653
t__SGB15053,ERR14760441,ERR14760606
t__SGB15053,ERR14760606,ERR14760611
t__SGB15053,ERR14760606,ERR14760653
t__SGB15053,ERR14760603,ERR14760653
t__SGB15053,ERR14760603,ERR14760606
t__SGB15053,C4,U6
t__SGB15053,U6,Z10
t__SGB15053,U6,Z2
t__SGB15053,U6,U8
t__SGB15053,U6,Z4
t__SGB15053,U6,Z3
t__SGB15053,U6,Z7
t__SGB15053,U6,Z8
t__SGB15053,U6,U9
t__SGB15053,U6,Z6
t__SGB15053,C12,U6
t__SGB15053,C12,Z7
t__SGB15053,U12,U6
t__SGB15053,C10,U9
t__SGB15053,U9,Z10
t__SGB15053,U9,Z2
t__SGB15053,U9,Z4
t__SGB15053,U9,Z3
t__SGB15053,U4,U6
t__SGB15053,U4,U9
t__SGB15085,U5,Z8
t__SGB15085,C11,Z8
t__SGB15085,ERR14760561,ERR14760644
t__SGB15085,ERR14760561,ERR14760628
t__SGB15085,U4,Z8
t__SGB15085,C8,U4
t__SGB15085,C8,Z8
t__SGB15085,C6,U12
t__SGB15087,ERR14760581,ERR14760611
t__SGB15087,ERR14760581,ERR14760619
t__SGB15087,ERR14760611,ERR14760619
t__SGB15087,ERR14760648,ERR14760837
t__SGB15087,ERR14760522,ERR14760648
t__SGB15087,ERR14760522,ERR14760837
t__SGB15087,ERR14760447,ERR14760606
t__SGB15087,ERR14760447,ERR14760864
t__SGB15087,ERR14760606,ERR14760864
t__SGB15090,C1,Z8
t__SGB15090,C7,C8
t__SGB15090,ERR14760436,ERR14760637
t__SGB15090,ERR14760441,ERR14760867
t__SGB15095,C1,U8
t__SGB15095,ERR14760611,ERR14760809
t__SGB15095,ERR14760611,ERR14760637
t__SGB15095,ERR14760637,ERR14760809
t__SGB15095,U5,Z4
t__SGB15100,C11,Z3
t__SGB15100,Z10,Z5
t__SGB15100,Z10,Z3
t__SGB15100,U4,U6
t__SGB15100,ERR14760603,ERR14760847
t__SGB15100,C6,U3
t__SGB15100,U3,Z10
t__SGB15100,U3,Z5
t__SGB15100,U3,U5
t__SGB15100,U3,Z3
t__SGB15100,C7,U3
t__SGB15100,C7,C9
t__SGB15100,C7,U5
t__SGB15100,C9,U3
t__SGB15100,C9,U5
t__SGB15103,ERR14760603,ERR14760637
t__SGB15103,Z11,Z4
t__SGB15103,C11,Z4
t__SGB15103,C11,Z3
t__SGB15103,U12,U7
t__SGB15103,U5,Z4
t__SGB15103,ERR14760509,ERR14760581
t__SGB15103,ERR14760509,ERR14760637
t__SGB15103,ERR14760581,ERR14760619
t__SGB15103,Z12,Z4
t__SGB15103,ERR14760504,ERR14760637
t__SGB15103,ERR14760441,ERR14760603
t__SGB15103,ERR14760441,ERR14760509
t__SGB15103,ERR14760441,ERR14760637
t__SGB15103,C7,Z4
t__SGB15103,C7,Z12
t__SGB15103,ERR14760611,ERR14760864
t__SGB15106,C11,U9
t__SGB15106,C11,Z8
t__SGB15106,C11,Z12
t__SGB15106,ERR14760504,ERR14760611
t__SGB15106,ERR14760611,ERR14760844
t__SGB15106,Z5,Z6
t__SGB15106,ERR14760441,ERR14760648
t__SGB15106,C5,U9
t__SGB15106,C5,Z8
t__SGB15106,U5,U9
t__SGB15106,U5,Z8
t__SGB15106,U9,Z8
t__SGB15106,U9,Z4
t__SGB15106,U9,Z12
t__SGB15106,Z10,Z8
t__SGB15106,ERR14760606,ERR14760637
t__SGB15106,Z4,Z8
t__SGB15106,C8,C9
t__SGB15106,C6,C9
t__SGB15106,C6,C8
t__SGB15106,ERR14760538,ERR14760810
t__SGB15106,ERR14760644,ERR14760810
t__SGB15106,ERR14760509,ERR14760637
t__SGB15106,ERR14760509,ERR14760606
t__SGB15106,ERR14760509,ERR14760576
t__SGB15106,C10,Z12
t__SGB15107,ERR14760844,ERR14760867
t__SGB15107,C7,Z4
t__SGB15107,U9,Z7
t__SGB15107,C9,Z12
t__SGB15107,C8,Z12
t__SGB15107,C8,C9
t__SGB15107,ERR14760581,ERR14760697
t__SGB15107,C6,Z4
t__SGB15107,C6,U3
t__SGB15119,U7,Z3
t__SGB15119,Z3,Z7
